ID_Proyecto,Nombre_Proyecto,Categoria,Presupuesto_USD,Estado_General,Fecha_Inicio,Fecha_Estimada_Finalizacion,Porcentaje_Avance
001,Construcción de Escuela,Educación,250000,En Progreso,2024-01-15,2025-06-30,60
002,Pavimentación de Vías,Infraestructura,1500000,Completado,2023-03-01,2024-12-20,100
003,Sistema de Agua Potable,Servicios Básicos,800000,En Planificación,2025-05-01,2026-12-31,10
004,Parque Ecológico,Medio Ambiente,120000,En Progreso,2024-06-01,2025-09-15,45
005,Capacitación Ciudadana,Participación Ciudadana,50000,Completado,2024-02-10,2024-08-30,100
006,Electrificación Rural,Infraestructura,300000,En Progreso,2024-09-01,2025-12-31,25
007,Centro de Salud Comunitario,Salud,450000,En Progreso,2024-03-01,2025-10-15,70
008,Recuperación de Espacios Públicos,Urbanismo,200000,En Progreso,2024-07-15,2025-11-30,35
009,Programa de Reforestación,Medio Ambiente,150000,En Planificación,2025-01-15,2026-03-31,5
010,Mercado Local,Economía,600000,En Progreso,2024-04-01,2025-12-15,50
